T1;OC;Time's Up;1994;Hip-hop
T2;Les Demerle;A Day in the Life;1968;Jazz
T3;David Axelrod;Holy Thursday;1968;Jazz
T4;Lil Wayne;Dr. Carter;2008;Hip-hop
T5;Clyde McPhatter;Mixed Up Cup;1970;R&B/Soul
T6;Common;In My Own World (Check the Method);1994;Hip-hop
T7;Monty Alexander;Love and Happiness;1974;Jazz
T8;The Beatnuts;Let Off a Couple;1994;Hip-hop
T9;Beastie Boys;Rhymin & Stealin';1986;Hip-hop
T10;Led Zeppelin;When The Levee Breaks;1971;Rock
T11;Bill Withers;Grandma's Hands;1971;R&B/Soul
T12;Blackstreet;No Diggity;1996;Hip-hop
T13;Jay-Z;Roc Boys (and the Winner is);2007;Hip-hop
T14;Menahan Street Band;Make the Road by Walking;2006;World
T15;Lou Reed;Walk on the Wild Side;1971;Rock
T16;A Tribe Called Quest;Can I Kick it?;1990;Hip-hop
T17;House of Pain;Jump Around;1992;Hip-hop
T18;Bob & Earl;Harlem Shuffle;1963;R&B/Soul
T19;Lowell Fulsom;Tramp;1966;Blues
T20;Will Smith;Miami;1997;Hip-hop
T21;The Whispers;And the Beat Goes On;1980;Disco
T22;Asheru ft. Talib Kweli;Mood Swing;2002;Hip-hop
T23;Duke Ellington and John Coltrane;In a Sentimental Mood;1963;Jazz
T24;Wu-Tang Clan;C.R.E.A.M.;1993;Hip-hop
T25;The Charmels;As Long as I've Got You;1967;R&B/Soul
T26;Beastie Boys;Rock Hard;1985;Hip-hop
T27;AC/DC;Back in Black;1980;Rock
T28;Wu-Tang Clan;Tearz;1993;Hip-hop
T29;Wendy Rene;After Laughter (Comes Tears);1964;R&B/Soul
T30;Non Phixion;Rock Stars;2002;Hip-hop
T31;Bar-Kays;In the hole;1969;R&B/Soul
T32;A Tribe Called Quest ft. Leaders of the New School & Kid Hood;Scenario (Remix);1992;Hip-hop
T33;The Emotions;Blind Alley;1972;R&B/Soul
T34;Pete Rock & C.L. Smooth;Straighten it Out;1992;Hip-hop
T35;Ernie Hines;Our Generation;1972;R&B/Soul
T36;Big Daddy Kane;Ain't No Half-Steppin';1988;Hip-hop
T37;De La Soul;Eye Know;1989;Hip-hop
T38;The Mad Lads;Make This Young Lady Mine;1969;R&B/Soul
T39;Biz Markie;Just a Friend;1989;Hip-hop
T40;Freddie Scott;You Got What I Need;1968;R&B/Soul
T41;Killah Priest ft. Hell Razah and Tekitha;One Step;1998;Hip-hop
T42;William Bell;I Forgot to Be Your Lover;1968;R&B/Soul
T43;Otis Redding;(Sittin' On) the Dock of the Bay;1968;R&B/Soul
T44;Wu-Tang Clan;Protect Ya Neck;1993;Hip-hop
T45;The J.B.'s;The Grunt;1970;R&B/Soul
T46;EPMD;Da Joint;1997;Hip-hop
T47;Funky 4 + 1;That's the Joint;1980;Funk
T48;De La Soul;Change in Speak;1989;Hip-hop
T49;Cymande;Bra;1972;Funk
T50;The Mad Lads;No Strings Attached;1969;Hip-hop
T51;Nas;Memory Lane (Sittin' in Da Park);1994;Hip-hop
T52;Lee Dorsey;Get Out of My Life, Woman;1966;R&B/Soul
T53;Fat Joe;Flow Joe;1993;Hip-hop
T54;Public Enemy;Rebel Without a Pause;1987;Hip-hop
T55;Albert King;Oh, Pretty Woman;1969;R&B/Soul
T56;Blowfly;Outro;1973;Funk
T57;Jurassic 5;Quality Control;2000;Hip-hop
T58;David McCallum;The Edge;1967;Classical
T59;Dr. Dre ft. Snoop Dogg;The Next Episode;1999;Hip-hop
T60;Bobby Caldwell;Open Your Eyes;1980;Jazz
T61;Common;The Light;2000;Hip-hop
T62;Dido;Thank You;2000;Pop
T63;Eminem;Stan;2000;Hip-hop
T64;Eddie Holman;It's Over;1977;R&B/Soul
T65;Ghostface Killah & RZA;Nutmeg;2000;Hip-hop
T66;Foreigner;Cold as Ice;1977;Rock
T67;M.O.P.;Cold as Ice;2000;Hip-hop
T68;Grace Jones;Nightclubbing;1981;Disco
T69;Shyne & Barrington Levy;Bad Boyz;2000;Hip-hop
T70;Hossam Ramzy;Khusara Khusara;1994;World
T71;Jay-Z & UKG;Big Pimpin';1999;Hip-hop
T72;Jack Mayborn;Music People;1978;R&B/Soul
T73;Prodigy;Keep it Thoro;2000;Hip-hop
T74;Jimmie & Vella Cameron;Hey Boy Over There;1968;R&B/Soul
T75;Capone N' Noreaga;Invincible;2004;Hip-hop
T76;Raymond Lefevre & His Orchestra;The Days of Pearly Spencer;1967;R&B/Soul
T77;Black Rob;Whoa!;2000;Hip-hop
T78;Sam & Dave;Soul Sister, Brown Sugar;1969;R&B/Soul
T79;M.O.P.;Ante Up;2000;Hip-hop
T80;Solomon Burke;Cool Breeze;1972;R&B/Soul
T81;Ghostface Killah & Raekwon;Apollo Kids;2000;Hip-hop
T82;The Monkeys;Mary Mary;1966;Rock
T83;James Brown;Funky Drummer;1970;Funk
